nh4       no3       ch4     co2     o3      nh3     no2     no
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     400.0   0.0     0.0     0.0     0.0

